,Sales,Shipping Cost,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Consumer,Segment_Corporate,Segment_Home Office,Order Priority_Critical,Order Priority_High,Order Priority_Low,Order Priority_Medium,Market,Category,Sub-Category,Discount_Category,Quantity_Group
0,5175.171,36.402568733694565,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,384.3723207877459,541.7674938530392,592.9056284231367,314.00575901000514,585.4689862250813
1,2892.51,36.188641380694364,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,327.39345476571725,541.7674938530392,592.9056284231367,314.00575901000514,219.4127752458392
2,2862.675,35.67449327714229,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,389.88382850368396,551.4839855845131,619.755611927771,317.29485615944833,218.31259293866097
3,1822.08,35.57094120008028,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,389.88382850368396,486.605126981115,513.8044641974925,317.29485615944833,218.31259293866097
4,5083.96,34.484045755568935,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,296.1644857634163,136.79814909217177,90.6081816759929,314.58584453780287,217.93131897477403
5,4297.644,34.40577965081277,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,295.0641807659767,482.0105078446991,1013.7388185356212,240.49844330682782,964.8750577745884
6,4626.15,33.194862532610884,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,392.95930003802306,473.4506542496694,1003.2756218551585,314.58584453780287,217.93131897477403
7,2616.96,33.0680313064419,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,192.223676016059,558.9579485409765,596.5837214727005,314.58584453780287,217.93131897477403
8,3701.52,31.94942805538832,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,384.3723207877459,138.03635655312414,662.5177992829023,314.00575901000514,964.8750577745884
9,2249.91,30.992574754164163,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,301.6256057848354,561.7780173031223,282.4680536587583,320.91961619730677,610.0465162721076
10,3409.74,30.29741119807345,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,179.67475834542253,138.25115910810553,721.8232668804626,313.1268763700077,610.0551508372503
11,1977.72,30.140477623921335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,200.29553652966567,468.5515528159641,1012.9835109711697,313.1268763700077,214.35420885034878
12,2754.0,29.85952237607867,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,390.491308492304,477.55578523115446,504.25161179613144,320.91961619730677,610.0465162721076
13,5273.7,28.99418021272326,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,334.0092938880151,139.23832253419582,680.9133125781278,317.29485615944833,612.5466867717284
14,1715.16,28.779851495083285,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,390.491308492304,477.55578523115446,1060.000306973112,320.91961619730677,219.19725674422747
15,4158.912,28.341962673088503,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,295.0641807659767,541.7674938530392,592.9056284231367,314.00575901000514,585.4689862250813
16,1878.72,27.917318884206306,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,384.3723207877459,482.0105078446991,512.2927700874567,314.00575901000514,219.4127752458392
17,2402.865,27.73550070238812,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,327.39345476571725,541.7674938530392,598.5514036316443,314.00575901000514,585.4689862250813
18,2453.43,27.36905478627333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,301.6256057848354,477.55578523115446,504.25161179613144,246.8828259578131,219.19725674422747
19,2526.93,27.344170178607264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,392.95930003802306,136.79814909217177,688.5134602555761,314.58584453780287,217.93131897477403
20,3817.26,26.876580373269114,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,197.0090762620613,561.7780173031223,616.2994540785693,320.91961619730677,610.0465162721076
21,2799.96,26.756170981336545,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,297.80629836136757,551.4839855845131,646.3848372315714,317.29485615944833,218.31259293866097
22,7999.98,26.742925948223967,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,293.156904938404,556.5439726810458,657.5108858316066,248.36370633868168,214.35420885034878
23,4141.02,26.507726269315675,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,327.39345476571725,541.7674938530392,770.7522582199334,314.00575901000514,964.8750577745884
24,3200.5962,26.18302227573751,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,390.491308492304,561.7780173031223,616.2994540785693,320.91961619730677,610.0465162721076
25,4518.78,26.09552478426651,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,390.491308492304,561.7780173031223,616.2994540785693,320.91961619730677,610.0465162721076
26,5667.87,26.081878386514152,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,390.491308492304,477.55578523115446,651.0660625829829,320.91961619730677,983.2328496103096
27,5785.02,26.016857314870563,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,326.803678148321,558.9579485409765,596.5837214727005,314.58584453780287,607.9327033569862
28,3018.624,25.98394541440899,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,324.5071003096552,138.25115910810553,721.8232668804626,313.1268763700077,610.0551508372503
29,9449.95,25.971904475215737,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,293.156904938404,138.25115910810553,90.0416999371813,313.1268763700077,214.35420885034878
30,2092.5,25.86634557495485,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,326.803678148321,473.4506542496694,497.6797247125051,314.58584453780287,217.93131897477403
31,2761.2,25.53602247641983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,390.491308492304,477.55578523115446,504.25161179613144,320.91961619730677,610.0465162721076
32,3473.14,25.125827814569536,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,220.27040173904163,468.5515528159641,491.2902708393489,313.1268763700077,945.101999596439
33,3050.376,25.02628938390528,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,297.80629836136757,139.23832253419582,94.55801366483044,317.29485615944833,218.31259293866097
34,2108.64,24.982942002809555,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,192.223676016059,558.9579485409765,784.763935076567,314.58584453780287,607.9327033569862
35,2197.5,24.834437086092716,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,384.3723207877459,482.0105078446991,676.3513765397339,314.00575901000514,219.4127752458392
36,3149.93,24.45916114790287,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,301.6256057848354,561.7780173031223,757.1748960367584,320.91961619730677,610.0465162721076
37,4191.507,24.315472606863338,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,392.95930003802306,136.79814909217177,688.5134602555761,314.58584453780287,607.9327033569862
38,4367.896,24.118803933373474,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,296.1644857634163,558.9579485409765,596.5837214727005,314.58584453780287,918.6001986369155
39,3063.27,24.110776640577967,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,393.2729528632659,468.5515528159641,647.8343363037794,313.1268763700077,610.0551508372503
40,4643.8,24.034517359020672,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,297.80629836136757,551.4839855845131,646.3848372315714,317.29485615944833,218.31259293866097
41,4473.0,23.91651615492675,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,324.5071003096552,556.5439726810458,600.4048040332134,313.1268763700077,610.0551508372503
42,2104.55,23.499899658840057,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,296.1644857634163,136.79814909217177,688.5134602555761,314.58584453780287,607.9327033569862
43,2188.05,23.495484647802527,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,324.5071003096552,468.5515528159641,647.8343363037794,313.1268763700077,214.35420885034878
44,1920.36,23.449729078868152,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,392.95930003802306,473.4506542496694,1003.2756218551585,314.58584453780287,217.93131897477403
45,1704.0,23.448123620309055,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,220.27040173904163,556.5439726810458,600.4048040332134,313.1268763700077,214.35420885034878
46,1858.68,23.361027493477824,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,199.41260049084116,477.55578523115446,1060.000306973112,320.91961619730677,219.19725674422747
47,3298.26,23.3128637367048,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,393.2729528632659,468.5515528159641,491.2902708393489,313.1268763700077,610.0551508372503
48,3808.8,23.263495886012443,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,179.67475834542253,468.5515528159641,491.2902708393489,313.1268763700077,610.0551508372503
49,3427.1496,23.200883002207508,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,384.3723207877459,482.0105078446991,1013.7388185356212,240.49844330682782,585.4689862250813
50,2863.35,23.012642986152922,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,392.95930003802306,558.9579485409765,596.5837214727005,314.58584453780287,217.93131897477403
51,6354.95,22.982139273530002,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,293.156904938404,138.25115910810553,90.0416999371813,313.1268763700077,214.35420885034878
52,1487.4,22.976520168573153,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,334.27352736957204,561.7780173031223,757.1748960367584,320.91961619730677,610.0465162721076
53,2301.0,22.667068031306442,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,393.2729528632659,468.5515528159641,491.2902708393489,313.1268763700077,214.35420885034878
54,5729.346,22.654224362833638,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,324.5071003096552,468.5515528159641,491.2902708393489,313.1268763700077,945.101999596439
55,5301.24,22.47361027493478,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,179.67475834542253,556.5439726810458,780.6168716491658,313.1268763700077,945.101999596439
56,3219.9,22.30503712622918,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,324.5071003096552,556.5439726810458,600.4048040332134,313.1268763700077,214.35420885034878
57,2487.8088,22.220349187236604,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,384.3723207877459,138.03635655312414,662.5177992829023,314.00575901000514,585.4689862250813
58,1581.48,21.762793497892837,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,389.88382850368396,551.4839855845131,756.7940657368495,317.29485615944833,612.5466867717284
59,2432.16,21.608669476219145,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,324.5071003096552,138.25115910810553,721.8232668804626,313.1268763700077,214.35420885034878
60,3863.88,21.595023078466788,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,193.87565581678894,556.5439726810458,600.4048040332134,313.1268763700077,610.0551508372503
61,2465.82,21.592213525988363,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,389.88382850368396,486.605126981115,513.8044641974925,317.29485615944833,612.5466867717284
62,1847.52,21.56813164760185,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,392.95930003802306,473.4506542496694,1003.2756218551585,314.58584453780287,217.93131897477403
63,2899.89,21.395544852498496,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,334.27352736957204,477.55578523115446,651.0660625829829,320.91961619730677,610.0465162721076
64,2891.7,21.394742123218947,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,393.2729528632659,468.5515528159641,491.2902708393489,313.1268763700077,610.0551508372503
65,3155.544,21.329319686935584,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,327.39345476571725,138.03635655312414,662.5177992829023,314.00575901000514,585.4689862250813
66,3856.14,21.09050772626932,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,187.09273161398772,541.7674938530392,592.9056284231367,314.00575901000514,585.4689862250813
67,3524.472,20.981737908890228,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,384.3723207877459,541.7674938530392,592.9056284231367,314.00575901000514,585.4689862250813
68,2556.0,20.950030102347984,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,223.22785146915746,551.4839855845131,619.755611927771,317.29485615944833,612.5466867717284
